Date, Time, Open, High, Low, Last, Volume, OpenInterest
2017/1/16, 00:00:00, 21567, 22037, 21271, 21977, 828117, 120417
2017/2/1, 00:00:00, 21845, 22859, 21559, 22389, 1860895, 144600
2017/3/1, 00:00:00, 22387, 23335, 22032, 22761, 2293820, 136583
2017/4/3, 00:00:00, 22761, 23356, 22336, 23291, 1948336, 133438
2017/5/2, 00:00:00, 23291, 24551, 22950, 24409, 2124732, 147788
2017/6/1, 00:00:00, 24406, 24888, 24273, 24633, 2182303, 140264
2017/7/3, 00:00:00, 24635, 26362, 24158, 26349, 2192152, 144736
2017/8/1, 00:00:00, 26355, 27283, 25926, 27206, 2630743, 145902
2017/9/1, 00:00:00, 27211, 27494, 26528, 26799, 2440611, 134500
2017/10/3, 00:00:00, 26797, 28095, 26767, 27488, 2248684, 130713
2017/11/1, 00:00:00, 27496, 30629, 27375, 28557, 3193107, 147664
2017/12/1, 00:00:00, 28560, 29194, 27387, 29115, 2960265, 139437
2018/1/2, 00:00:00, 29122, 32683, 29108, 32043, 4035473, 138509
2018/2/1, 00:00:00, 32043, 32190, 28199, 29938, 3500984, 109568
2018/3/1, 00:00:00, 29994, 31211, 28996, 29298, 4005951, 112678
2018/4/3, 00:00:00, 29308, 30399, 28395, 30082, 4238876, 112746
2018/5/2, 00:00:00, 30091, 30916, 28992, 30028, 4396609, 110512
2018/6/1, 00:00:00, 30026, 31075, 27677, 28439, 4584360, 108651
2018/7/3, 00:00:00, 28426, 28826, 27433, 28169, 4492693, 100304
2018/8/1, 00:00:00, 28189, 28567, 26381, 27550, 4692521, 98987
2018/9/3, 00:00:00, 27532, 27836, 25805, 27664, 4649996, 106364
2018/10/2, 00:00:00, 27661, 27661, 24257, 24710, 5850891, 124636
2018/11/1, 00:00:00, 24718, 26728, 24657, 26306, 5546683, 123860
2018/12/3, 00:00:00, 26300, 27104, 24959, 25603, 3736154, 119265
2019/1/2, 00:00:00, 25605, 27869, 24625, 27849, 4501965, 114230
2019/2/1, 00:00:00, 27806, 28910, 27244, 28438, 3165010, 117140
2019/3/1, 00:00:00, 28456, 29402, 27788, 28801, 4664288, 120998
2019/4/1, 00:00:00, 28796, 30060, 28758, 29396, 4073204, 121569
2019/5/2, 00:00:00, 29396, 29975, 26773, 26787, 4967804, 111646
2019/6/3, 00:00:00, 26797, 28758, 26575, 28617, 3852546, 111127
2019/7/2, 00:00:00, 28626, 29192, 27779, 27904, 3883168, 105976
2019/8/1, 00:00:00, 27672, 27832, 24938, 25829, 4780329, 111519
2019/9/2, 00:00:00, 25848, 27613, 25532, 26259, 3481493, 111768
2019/10/2, 00:00:00, 26283, 27297, 25724, 27193, 3627987, 117988
2019/11/1, 00:00:00, 27173, 28158, 26387, 26456, 3628855, 114108
2019/12/2, 00:00:00, 26496, 28536, 26072, 28270, 2919763, 108154
2020/1/2, 00:00:00, 28363, 29222, 27865, 28818, 1439540, 0
